titulo,preco,bairro,area,quartos,banheiros,vagas,finalidade,fonte,link
Casa à venda no Vila Eulália,410000.0,Vila Eulalia,156.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-vila-eulalia-1506374468
Casa No Jardim São Paulo,250000.0,Jardim Sao Paulo,50.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-jardim-sao-paulo-1520810977
Casas à venda  Vale Dourado,330000.0,Joao De Deus,200.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casas-a-venda-vale-dourado-1460967349
Imóvel para venda com 480 metros quadrados com 7 quartos em Ouro Preto - Petrolina - PE,1200000.0,Ouro Preto,480.0,5,5,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-com-480-metros-quadrados-com-7-quartos-em-ouro-preto-petrolina-pe-1476413724
Casa a venda no bairro Vila Nova,270000.0,Loteamento Recife,100.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-bairro-vila-nova-1487463385
Casa Bairro Nova Petrolina,298000.0,Cohab Sao Francisco,144.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-bairro-nova-petrolina-1501500812
Casa no Dom Avelar,220000.0,Dom Avelar,100.0,3,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-dom-avelar-1503587742
Casa no Loteamento Vale Dourado,310000.0,Joao De Deus,200.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-loteamento-vale-dourado-1519079098
Casa à Venda  Loteamento Recife,600000.0,Loteamento Recife,200.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-loteamento-recife-1429132558
Casa à venda Cond .Valle das Mangueiras,500000.0,Cohab Sao Francisco,160.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-cond-valle-das-mangueiras-1439096639
Casa no condomínio Summerville - Petrolina,2050000.0,Fernando Idalino,240.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-summerville-petrolina-1480994955
Casa à venda no Loteamento Vale Dourado,680000.0,Joao De Deus,162.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-loteamento-vale-dourado-1515027472
CASA NO CONDOMÍNIO ECOSPA,1700000.0,Carneiro,205.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-ecospa-1518918885
CASA BAIRRO CAMINHO DO SOL,1800000.0,Caminho Do Sol,600.0,5,3,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-bairro-caminho-do-sol-1349794427
Casa Bairro Caminho do Sol,520000.0,Caminho Do Sol,135.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-bairro-caminho-do-sol-1380066309
Casa VILA NOVA I,290000.0,Boa Esperanca,100.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-vila-nova-i-1520801464
Valle do Canidé,366707.0,Cohab Sao Francisco,93.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/valle-do-canide-1132226160
Casa no Bairro Vila Marcela,650000.0,Loteamento Recife,200.0,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-vila-marcela-1335253091
Casa no Condomínio Terras Alphaville - Petrolina,2550000.0,Boa Esperanca,284.0,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-terras-alphaville-petrolina-1369993658
Casas à venda  Parque Massangano,300000.0,Massangano,107.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casas-a-venda-parque-massangano-1461482390
Casa no Stella Márcia,440000.0,Dom Avelar,128.0,3,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-stella-marcia-1520152149
CASA NO CONDOMÍNIO ECOSPA,1800000.0,Carneiro,231.0,4,5,4,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-ecospa-1402718984
Casa Bairro Vale Dourado,560000.0,Joao De Deus,200.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-bairro-vale-dourado-1412754295
Cohab São Francisco  Jd. Guararapes,460000.0,Cohab Sao Francisco,250.0,3,2,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/cohab-sao-francisco-jd-guararapes-1420834217
Casa no condomínio Summerville - Petrolina,2050000.0,Fernando Idalino,240.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-summerville-petrolina-1480995453
Imóvel para venda tem 100 metros quadrados com 3 quartos em Loteamento Recife - Petrolina ,290000.0,Boa Esperanca,100.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-tem-100-metros-quadrados-com-3-quartos-em-loteamento-recife-petrolina-1514403763
Casa à venda no Vale Dourado,350000.0,Joao De Deus,100.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-vale-dourado-1521460403
Imóvel para venda com 105 metros quadrados com 3 quartos em Portal da Cidade - Petrolina -,330000.0,Portal Da Cidade,105.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-com-105-metros-quadrados-com-3-quartos-em-portal-da-cidade-petrolina-1433094168
Casa no Condomínio Sol Nascente 2,930000.0,Cidade Universitaria,200.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-sol-nascente-2-1434525358
Casa Bairro Loteamento Recife,430000.0,Loteamento Recife,145.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-bairro-loteamento-recife-1516926238
VENDO CASA NO BAIRRO PADRE CÍCERO ,430000.0,Dom Avelar,200.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-casa-no-bairro-padre-cicero-1522199475
"Casa à Venda no Bairro Cajueiro - Juazeiro/BA  Casa aconchegante, com pé-direito alto, pro",535000.0,Sao Jose,150.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-bairro-cajueiro-juazeiro-ba-casa-aconchegante-com-pe-direito-alto-pro-1531426382
Imóvel para venda possui 50 metros quadrados com 2 quartos em Vila Mocó - Petrolina - PE,350000.0,Vila Moco,50.0,2,1,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-possui-50-metros-quadrados-com-2-quartos-em-vila-moco-petrolina-pe-1531424368
Vendo Casa Vila Eulália ,500000.0,Vila Eulalia,125.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-casa-vila-eulalia-1529628097
Casa a venda no José e Maria ,395000.0,Jose E Maria,200.0,4,1,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-jose-e-maria-1531396755
Oportunidade! Linda Casa Moderna com Garagem e Ótimo Preço,250000.0,Caminho Do Sol,,2,1,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/oportunidade-linda-casa-moderna-com-garagem-e-otimo-preco-1531368051
Imóvel para venda com 57 metros quadrados com 1 quarto em Boa Esperança - Petrolina - PE,290000.0,Boa Esperanca,57.0,1,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-com-57-metros-quadrados-com-1-quarto-em-boa-esperanca-petrolina-pe-1506420460
OPORTUNIDADE CASA NO ALPHAVILLE! COM ENERGIA SOLAR! ,1499000.0,Loteamento Recife,300.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/oportunidade-casa-no-alphaville-com-energia-solar-1514949286
"OPORTUNIDADE! COMERCIAL, SALAS PARCELADAS DIRETO COM A CONSTRUTORA! ",270000.0,Loteamento Recife,35.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/oportunidade-comercial-salas-parceladas-direto-com-a-construtora-1480145864
OPORTUNIDADE APARTAMENTO A VENDA! BAIRRO JATOBÁ! CENTRAL ,299000.0,Loteamento Recife,70.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/oportunidade-apartamento-a-venda-bairro-jatoba-central-1480168517
"VENDO CASA NASCENTE, COND. SOL NASCENTE ORLA, DOIS PAVIMENTOS ",1990000.0,Loteamento Recife,197.0,4,4,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-casa-nascente-cond-sol-nascente-orla-dois-pavimentos-1480150492
OPORTUNIDADE DE CASA ESQUINA PRIMEIRA ETAPA CONDOMÍNIO BUONA VITA ,1250000.0,Loteamento Recife,250.0,4,5,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/oportunidade-de-casa-esquina-primeira-etapa-condominio-buona-vita-1497696211
Apartamento mobiliado a Venda - Não Financia- Avalio troca ,154999.0,Antonio Cassimiro,43.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-mobiliado-a-venda-nao-financia-avalio-troca-1516993035
Apartamento no Bernardino,65000.0,Topazio,45.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-no-bernardino-1531270979
Apartamento no bairro jatobá ,298000.0,Jatoba,62.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-no-bairro-jatoba-1529507016
CASA PARA VENDA 03 QUARTOS - ANTONIO CASSIMIRO,270000.0,Antonio Cassimiro,158.0,2,1,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-para-venda-03-quartos-antonio-cassimiro-1531260981
Apartamento à Venda - a 800m da Av. Monsenhor em Petrolina,280000.0,Vila Eduardo,60.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-a-venda-a-800m-da-av-monsenhor-em-petrolina-1531220445
